# docs/walk-env-manifest.tsv — WHAT THE WALKTHROUGH HARNESS MAY PRE-SUPPLY, PER SCENARIO.
#
# One row per (scenario, key). The harness (nested-vsphere-lab/scripts/walk-matrix.sh) reads this
# file; scripts/check-walk-env-manifest.sh reconciles it against the documents, offline, here.
#
# WHY IT LIVES IN THIS REPO. The harness pre-supplies ~21 variables into the walk box before a single
# documented command runs. That list used to be hand-typed in walk_env() with nothing linking it to
# the documents it claims to walk, so it drifted in BOTH directions: a key a document requires but
# the harness never supplies makes a row die for a reason a READER would also hit (scored as a
# product bug), and a key the harness supplies that no document names makes a row green on a value no
# reader could ever have. Keeping the decision table beside the documents means the refusal fires in
# the repo whose edit caused it.
#
# COLUMNS (tab-separated):
#   scenario    scenario-1 | scenario-2
#   key         an .env key
#   disposition EMIT   — the harness supplies it. The reason must say WHY a reader would have it.
#               EXEMPT — the harness does not supply it, and that is correct.
#               FORBID — the harness MUST NOT supply it. Supplying it would skip a documented
#                        command, or hand a persona a credential it does not have.
#   reason      a MECHANISM, never a state. "generated by 02-env.sh:85", not "has a default".
#
# THE DISPOSITION THAT MATTERS IS FORBID, and it is why this file is per-scenario rather than a flat
# list of keys. HARBOR_PASSWORD must be EMIT for scenario-2 (a tenant IS handed one — that is
# scenario-2's premise) and FORBID for scenario-1, where §8.5 fetches it. A union of the two cannot
# express that, so a gate built on one stays GREEN while the regression returns.
#
# THIS FIRST VERSION IS DESCRIPTIVE. Every row records what the harness does TODAY, with the reason.
# Rows whose disposition SHOULD change are marked in their reason and carry a backlog pointer —
# changing harness behaviour is a per-row validated change, not a bulk edit.
#
# scenario	key	disposition	reason

# ── scenario-1: the operator installs Harbor and ArgoCD themselves ────────────────────────────
scenario-1	SUPERVISOR_HOST	EMIT	Step 1 has the reader type it; the walk box cannot read it off a browser
scenario-1	VKS_CONTEXT_NAME	EMIT	Step 1: the reader invents it
scenario-1	VKS_NAMESPACE	EMIT	Step 1: the reader invents it
scenario-1	VKS_CLUSTER_NAME	EMIT	Step 1: the reader invents it; per-invocation so a reused name cannot collide
scenario-1	VKS_USERNAME	EMIT	Step 1 has the reader type it
scenario-1	VKS_SSO_DOMAIN	EMIT	Step 1 has the reader type it
scenario-1	VKS_STORAGE_POLICY	EMIT	Step 2: per-lab, read off vCenter's UI, which a walk box has no way to do
scenario-1	VCENTER_HOST	EMIT	Step 2 has the reader type it
scenario-1	VCENTER_USERNAME	EMIT	Step 2: the same SSO login as Step 1
scenario-1	VCENTER_PASSWORD	EMIT	Step 2: the same SSO password; over STDIN into a 0600 file, never in argv
scenario-1	VCF_CLI_VSPHERE_PASSWORD	EMIT	Step 1: the SSO password; over STDIN into a 0600 file, never in argv
scenario-1	VCF_CLI_SRC_DIR	EMIT	Step 1: the licensed archives are scp'd to /tmp/vcf before the row runs
scenario-1	HARBOR_URL	EMIT	Step 4: the reader chooses a name their real DNS answers
scenario-1	HARBOR_STORAGE_CLASS	EMIT	Step 4: no default, and its only lookup needs the Step-3 kubeconfig
scenario-1	ARGOCD_NAMESPACE	EMIT	Step 5: load_env derives it from VKS_NAMESPACE, so an unset value is silently wrong
scenario-1	HARBOR_PASSWORD	FORBID	the document's §8.5 fetches it. Injecting it makes 28-harbor-admin-password.sh:40-56 exit early on `accepted`, so the branch that READS the installed password is never walked
scenario-1	HARBOR_USERNAME	FORBID	same as HARBOR_PASSWORD — §8.5 must run to obtain the pair
scenario-1	VKS_K8S_VERSION	EXEMPT	24-vks-k8s-version.sh:208 set_env_var's it seconds before use; a pinned value goes stale WITHIN one lab cut
scenario-1	ARGOCD_SERVER	EXEMPT	09-argocd-address.sh:158 set_env_var's it after Step 5 creates argocd-server
scenario-1	ARGOCD_DEST_SERVER	EXEMPT	the guest cluster's API URL; Step 6 creates the cluster. 71-argocd-register-guest.sh:307 deliberately does not publish it
scenario-1	ARGOCD_DEST_CLUSTER_NAME	EXEMPT	one of the names `make argocd-preflight` lists, which needs a registered cluster
scenario-1	VKS_AUTH_METHOD	EXEMPT	the DOCUMENT owns it: Step 3 sets vcf, Step 6 sets kubeconfig. Pinning it made every check from Step 7 on interrogate the Supervisor instead of the cluster under test
scenario-1	VKS_CA_CERT_FILE	EXEMPT	`make fetch-supervisor-ca` writes the file this path names
scenario-1	VKS_CLUSTER_COMPUTE	EXEMPT	only a multi-cluster vCenter sets it; the lab has one
scenario-1	VKS_VM_CLASSES	EXEMPT	.env.example default is what the lab offers
scenario-1	VKS_CLUSTERCLASS	EXEMPT	.env.example default; the reader changes it only for a non-default cluster shape
scenario-1	VKS_VM_CLASS	EXEMPT	.env.example default; cluster shape
scenario-1	VKS_STORAGE_CLASS	EXEMPT	.env.example default; cluster shape
scenario-1	VKS_CONTROL_PLANE_COUNT	EXEMPT	.env.example default; cluster shape
scenario-1	VKS_NODE_COUNT	EXEMPT	.env.example default; cluster shape
scenario-1	HARBOR_INFRA_PROJECT	EXEMPT	.env.example default; the reader renames the project only if they want to
scenario-1	HARBOR_APP_PROJECT	EXEMPT	.env.example default; same

# ── scenario-2: a TENANT is handed Harbor and ArgoCD ──────────────────────────────────────────
scenario-2	SUPERVISOR_HOST	EMIT	the platform team gives a tenant this
scenario-2	VKS_CONTEXT_NAME	EMIT	the tenant invents it
scenario-2	VKS_USERNAME	EMIT	the tenant's own SSO login
scenario-2	VCF_CLI_VSPHERE_PASSWORD	EMIT	the tenant's own SSO password; over STDIN into a 0600 file
scenario-2	VCF_CLI_SRC_DIR	EMIT	the licensed archives are scp'd to /tmp/vcf before the row runs
scenario-2	HARBOR_URL	EMIT	the platform team gives a tenant this
scenario-2	ARGOCD_NAMESPACE	EMIT	the platform team gives a tenant this
scenario-2	HARBOR_PASSWORD	EMIT	a tenant IS handed a Harbor credential — that is scenario-2's premise. supply_s2_contract mints it from the live lab before the row runs
scenario-2	HARBOR_USERNAME	EMIT	same as HARBOR_PASSWORD
scenario-2	ARGOCD_AUTH_TOKEN	EMIT	scenario-2's own precondition is an interactive SSO login, which walk-doc NEUTRALIZES for being TTY-bound; supply_s2_contract mints the token instead
scenario-2	ARGOCD_SERVER	EMIT	the tenant is told its address; supply_s2_contract reads it from the live lab
scenario-2	ARGOCD_DEST_SERVER	EMIT	the tenant is told its guest cluster's API URL
scenario-2	ARGOCD_MECHANISM	EMIT	`api` is the tenant path the document describes
scenario-2	ARGOCD_REGISTER	EMIT	`never` — a tenant does not register clusters; that is an admin action, and the document says so
scenario-2	ARGOCD_PROJECT	EMIT	the AppProject the platform team grants
scenario-2	KUBECONFIG	EXEMPT	supply_s2_contract writes the guest kubeconfig as a FILE; the document's own step points at it
scenario-2	VKS_CONTEXT	EXEMPT	written by the login the walk performs
scenario-2	VKS_AUTH_METHOD	EXEMPT	the DOCUMENT owns it, same as scenario-1
scenario-2	HARBOR_CA_FILE	EXEMPT	`make fetch-harbor-ca` writes the file this path names
